40; 64 488; 58 513; 33 507; 29 522; 19 520; 26 495; 51 501; 55 486
41; 689 539; 670 522; 686 505; 674 495; 679 488; 698 504; 682 521; 694 531
42; 351 474; 329 485; 339 509; 324 515; 329 525; 351 513; 341 489; 356 483
43; 716 519; 698 500; 718 483; 707 472; 714 466; 732 484; 712 501; 723 514
44; 673 468; 651 478; 661 502; 646 508; 651 517; 673 506; 663 482; 678 476
45; 915 466; 897 484; 880 464; 868 475; 862 468; 882 450; 898 470; 909 459
46; 70 408; 70 435; 43 435; 43 453; 33 453; 33 425; 60 425; 61 408
47; 846 408; 835 432; 859 443; 851 459; 860 463; 872 438; 847 427; 855 412
48; 324 406; 298 402; 293 428; 279 424; 277 434; 302 439; 306 412; 322 416
49; 881 435; 858 426; 866 403; 851 398; 855 390; 878 398; 870 420; 885 426
50; 1022 406; 997 399; 1003 375; 988 371; 990 363; 1015 368; 1009 393; 1023 397
51; 33 358; 25 381; 48 390; 42 405; 51 409; 60 385; 36 375; 41 362
52; 826 360; 810 379; 793 363; 783 375; 775 370; 792 351; 809 367; 818 355
53; 266 381; 243 385; 239 361; 225 364; 223 355; 247 351; 251 375; 264 372
54; 395 367; 375 387; 397 406; 386 420; 393 426; 413 404; 391 386; 402 373
55; 439 353; 416 349; 412 372; 400 369; 398 377; 420 381; 424 358; 437 361
56; 648 376; 639 353; 616 361; 611 347; 603 350; 611 373; 633 365; 639 379
57; 197 344; 172 339; 168 364; 154 361; 152 370; 176 375; 180 350; 195 353
58; 954 384; 949 356; 976 351; 973 336; 983 333; 986 360; 960 365; 964 381
59; 283 284; 272 307; 295 318; 288 334; 297 337; 309 313; 284 302; 292 287
60; 655 275; 644 299; 668 310; 660 326; 669 330; 681 305; 656 294; 664 279
61; 59 253; 33 253; 33 279; 16 279; 16 287; 42 288; 42 262; 59 262
62; 259 247; 258 274; 231 271; 230 288; 220 287; 223 260; 249 263; 250 246
63; 573 253; 561 278; 586 289; 578 306; 587 310; 600 284; 574 273; 582 257
64; 632 251; 609 251; 609 228; 595 228; 595 220; 618 219; 618 243; 632 243
65; 621 249; 593 264; 580 234; 561 243; 556 233; 586 218; 599 248; 616 239
66; 1009 187; 990 206; 1011 223; 1000 236; 1007 242; 1026 222; 1005 205; 1016 193
67; 345 178; 344 203; 369 205; 367 222; 377 223; 379 197; 353 195; 354 179
68; 172 210; 161 233; 184 244; 177 260; 186 263; 198 239; 173 228; 181 213
69; 200 168; 175 174; 181 199; 167 204; 168 213; 193 206; 187 181; 203 176
70; 751 214; 739 191; 762 180; 755 166; 763 163; 774 185; 752 195; 759 211
71; 571 204; 549 213; 540 190; 525 195; 522 188; 545 179; 554 202; 568 197
72; 504 179; 483 199; 464 177; 449 189; 443 181; 465 161; 484 183; 497 171
73; 487 212; 478 226; 465 217; 459 225; 454 222; 464 208; 477 217; 483 209
74; 529 206; 516 214; 524 227; 517 233; 519 237; 532 228; 524 215; 531 209
75; 517 230; 491 235; 486 208; 470 212; 468 202; 495 197; 500 224; 515 220
76; 534 222; 502 222; 502 189; 481 189; 481 178; 513 176; 513 210; 534 210
77; 927 179; 911 195; 896 177; 885 187; 880 181; 897 165; 912 183; 922 173
78; 920 144; 911 170; 937 180; 930 197; 940 201; 950 174; 923 163; 929 148
79; 629 162; 610 141; 591 158; 581 144; 572 150; 589 171; 609 154; 620 168
80; 987 143; 975 121; 951 131; 945 116; 936 121; 947 143; 971 133; 977 148
81; 553 136; 541 114; 518 124; 512 109; 504 114; 515 136; 538 126; 544 141
82; 364 148; 339 141; 345 116; 330 111; 332 103; 357 109; 351 134; 365 138
83; 903 97; 878 94; 876 119; 861 118; 860 127; 884 130; 886 105; 902 106
84; 804 90; 803 114; 826 116; 825 132; 834 133; 836 108; 812 106; 813 91
85; 492 86; 469 92; 474 115; 461 120; 462 129; 485 122; 480 98; 495 94
86; 672 85; 647 85; 647 111; 631 111; 631 119; 656 120; 656 95; 672 95
87; 778 125; 754 118; 760 94; 745 90; 748 82; 772 88; 766 111; 779 116
88; 425 96; 415 73; 392 81; 386 66; 378 70; 386 93; 410 85; 415 100
89; 982 71; 971 93; 948 83; 942 98; 933 93; 945 71; 968 81; 974 66
90; 869 75; 851 93; 834 73; 822 83; 816 77; 836 59; 852 79; 863 69
91; 593 52; 585 76; 608 86; 602 101; 611 105; 620 80; 595 70; 601 56
92; 572 55; 562 77; 538 67; 532 82; 523 77; 535 55; 558 65; 564 50
93; 123 47; 104 66; 87 45; 74 56; 68 49; 88 30; 105 51; 117 40
94; 196 73; 172 83; 162 57; 146 63; 143 55; 168 45; 178 71; 192 65
95; 205 15; 181 26; 192 50; 176 57; 181 66; 205 54; 194 29; 210 23
96; 519 6; 493 6; 493 33; 476 33; 476 42; 502 43; 502 16; 519 16
97; 957 23; 938 2; 919 19; 909 5; 900 11; 917 32; 937 15; 948 29
98; 402 -4; 392 17; 414 28; 407 43; 415 46; 427 23; 404 12; 411 -1
