56; 904 233; 884 233; 884 212; 871 212; 871 204; 891 203; 891 225; 904 225
57; 636 207; 634 184; 611 186; 610 172; 603 173; 604 196; 627 194; 628 208
58; 545 203; 543 177; 517 180; 516 163; 508 165; 509 190; 535 188; 536 205
59; 999 194; 976 185; 984 162; 970 157; 973 149; 996 157; 988 179; 1002 185
60; 602 190; 577 186; 582 160; 566 157; 567 149; 593 152; 588 178; 603 181
61; 960 214; 958 190; 934 192; 933 177; 925 178; 926 202; 950 200; 951 215
62; 940 147; 940 175; 912 175; 912 192; 901 192; 901 164; 929 164; 931 147
63; 298 166; 277 156; 267 177; 254 170; 251 178; 271 189; 281 167; 295 174
64; 317 133; 293 144; 304 168; 289 174; 293 184; 317 172; 306 148; 322 141
65; 199 147; 195 121; 221 116; 217 102; 227 100; 230 125; 205 129; 209 145
66; 373 104; 367 129; 342 123; 337 138; 328 136; 335 111; 360 117; 365 102
67; 735 122; 713 103; 731 84; 717 72; 723 65; 745 82; 727 102; 741 113
68; 763 65; 741 82; 759 102; 745 114; 751 122; 773 104; 755 84; 769 72
69; 936 65; 911 69; 907 43; 891 47; 889 37; 915 33; 920 59; 934 55
70; 15 78; -3 61; 12 44; 0 34; 5 27; 24 43; 8 60; 20 70
71; 627 9; 627 35; 601 35; 601 52; 592 52; 592 26; 618 26; 619 9
72; 944 18; 939 0; 920 4; 917 -7; 911 -5; 915 13; 934 8; 937 20
73; 878 32; 855 32; 855 9; 841 9; 841 1; 864 0; 864 24; 878 24
