49; 543 498; 526 479; 545 464; 535 452; 541 447; 558 465; 539 480; 549 493
50; 1006 449; 982 445; 978 469; 965 466; 963 475; 986 479; 990 455; 1004 458
51; 50 441; 43 470; 14 463; 8 482; -2 479; 5 449; 35 456; 40 438
52; 417 478; 398 461; 414 442; 401 432; 407 425; 426 441; 410 459; 423 470
53; 877 406; 877 431; 903 431; 903 447; 912 447; 912 422; 886 422; 885 406
54; 673 400; 654 416; 670 435; 657 445; 663 453; 682 436; 666 417; 679 407
55; 458 395; 440 413; 460 430; 449 442; 456 448; 474 429; 454 412; 465 401
56; 265 404; 256 381; 232 389; 226 374; 218 378; 226 401; 250 393; 256 408
57; 557 422; 534 412; 542 389; 527 383; 531 375; 554 383; 546 407; 561 412
58; 57 424; 40 405; 59 390; 49 379; 55 373; 72 391; 53 406; 63 418
59; 1004 362; 1001 377; 1017 380; 1015 390; 1021 391; 1024 375; 1007 372; 1010 363
60; 161 376; 140 388; 130 365; 115 372; 112 364; 134 352; 144 375; 158 368
61; 13 341; -3 359; 15 374; 5 386; 11 392; 28 373; 9 358; 19 347
62; 770 347; 760 361; 746 352; 740 360; 735 357; 746 343; 760 352; 765 344
63; 828 327; 810 345; 830 362; 820 374; 826 380; 844 360; 824 344; 834 333
64; 446 371; 441 390; 422 385; 418 397; 411 395; 417 376; 436 381; 440 369
65; 440 318; 421 338; 442 355; 431 369; 438 375; 457 354; 436 337; 447 324
66; 480 350; 453 345; 448 372; 433 368; 431 378; 457 383; 462 356; 478 360
67; 426 334; 404 322; 394 345; 380 338; 377 346; 398 358; 408 335; 423 342
68; 192 317; 170 306; 160 328; 146 321; 143 329; 164 340; 174 318; 189 325
69; 754 327; 746 305; 724 312; 718 298; 711 301; 718 323; 740 316; 746 330
70; 413 310; 393 293; 377 312; 366 302; 360 308; 379 325; 394 306; 407 316
71; 454 290; 443 312; 465 322; 458 338; 466 341; 478 318; 455 307; 462 293
72; 586 288; 563 276; 552 299; 538 292; 535 300; 557 312; 568 289; 583 296
73; 346 303; 339 279; 315 285; 311 270; 303 273; 309 296; 332 291; 337 305
74; 535 324; 521 327; 518 311; 509 314; 508 308; 523 305; 526 320; 534 318
75; 504 271; 484 291; 506 310; 495 324; 502 330; 522 308; 500 290; 511 277
76; 543 266; 542 287; 521 285; 520 299; 512 298; 514 277; 535 279; 536 265
77; 648 263; 629 246; 614 265; 602 255; 597 261; 615 278; 630 259; 643 269
78; 224 262; 202 274; 192 251; 177 258; 173 250; 196 238; 206 261; 220 254
79; 521 281; 499 279; 501 256; 487 255; 488 247; 511 249; 509 272; 522 273
80; 486 236; 469 254; 488 269; 478 282; 484 287; 501 268; 482 252; 492 241
81; 429 228; 428 252; 451 254; 450 269; 459 271; 461 246; 437 244; 438 230
82; 942 218; 923 234; 939 253; 926 263; 932 271; 951 254; 935 235; 948 225
83; 46 291; 32 280; 41 267; 33 260; 36 256; 50 266; 41 280; 49 286
84; 68 231; 39 225; 34 255; 18 251; 15 261; 43 267; 48 237; 66 241
85; 41 236; 31 224; 43 214; 36 207; 41 203; 51 214; 39 225; 46 232
86; 646 206; 640 231; 615 225; 611 240; 601 238; 608 213; 633 219; 638 204
87; 120 171; 101 187; 117 206; 104 216; 110 224; 129 207; 113 188; 126 178
88; 175 203; 168 178; 143 184; 138 169; 130 171; 136 196; 161 190; 165 205
89; 759 164; 734 160; 730 184; 716 181; 714 190; 738 194; 742 170; 757 173
90; 581 159; 577 184; 601 188; 598 203; 607 206; 612 180; 586 176; 590 162
91; 638 178; 631 155; 608 160; 603 146; 595 148; 601 171; 624 166; 629 180
92; 694 193; 674 175; 691 156; 678 146; 684 138; 704 155; 687 174; 700 184
93; 515 135; 497 153; 517 170; 507 182; 513 188; 531 168; 511 152; 521 141
94; 233 136; 215 153; 200 134; 187 144; 182 138; 201 121; 216 140; 228 130
95; 642 141; 619 152; 608 129; 593 136; 589 127; 613 116; 624 139; 638 132
96; 828 113; 810 132; 830 149; 819 162; 826 168; 844 148; 824 131; 835 119
97; 23 67; 19 92; 43 96; 40 111; 49 114; 54 88; 28 84; 32 70
98; 987 61; 969 80; 989 97; 978 110; 985 116; 1003 96; 983 79; 994 67
99; 26 59; 12 67; 5 52; -4 56; -6 51; 8 43; 15 58; 24 54
100; 606 49; 583 37; 572 60; 558 53; 555 61; 577 73; 588 50; 603 57
101; 749 26; 749 51; 774 51; 774 67; 784 67; 784 42; 759 42; 757 26
102; 737 71; 718 54; 734 35; 721 25; 727 18; 746 34; 730 53; 743 63
103; 571 28; 556 47; 538 31; 527 44; 520 38; 536 19; 555 35; 564 22
104; 294 55; 271 52; 273 29; 258 28; 259 19; 283 22; 281 45; 295 46
105; 272 17; 248 19; 250 43; 236 44; 237 53; 260 51; 258 27; 273 26
106; 200 18; 196 42; 220 46; 217 61; 226 63; 231 38; 206 34; 209 20
107; 142 60; 118 51; 108 75; 94 70; 91 78; 114 87; 124 63; 139 68
108; 148 8; 130 26; 150 43; 140 55; 146 61; 164 41; 144 25; 154 14
109; 114 40; 95 26; 108 7; 96 -1; 100 -6; 119 6; 106 25; 118 33
