137; 206 957; 217 919; 238 925; 228 963
138; 216 924; 216 897; 249 897; 249 924
139; 414 936; 417 912; 451 916; 448 940
140; 298 917; 324 917; 324 940; 298 940
141; 337 936; 356 910; 376 924; 356 951
142; 375 943; 386 921; 418 937; 407 959
143; 624 939; 655 939; 655 970; 624 970
144; 949 947; 981 947; 981 972; 949 972
145; 152 955; 174 946; 187 978; 165 987
146; 452 970; 475 946; 492 962; 470 986
147; 599 950; 627 950; 627 982; 599 982
148; 704 962; 737 962; 737 987; 704 987
149; 117 972; 148 972; 148 996; 117 996
150; 222 992; 248 970; 262 988; 237 1010
151; 332 986; 351 973; 370 1001; 351 1014
152; 629 1002; 652 975; 670 990; 647 1017
153; 68 1009; 74 987; 106 996; 99 1018
154; 163 994; 189 994; 189 1024; 163 1024
155; 509 1005; 541 1005; 541 1025; 509 1025
156; 755 1004; 788 1004; 788 1026; 755 1026
157; 857 997; 891 997; 891 1026; 857 1026
